"Latitude","Longitude","Fuel Voltage Signal 1","Fuel Voltage Signal 2"
"-3.375409","36.654654",0,0
"-3.375394","36.654593",0,0
"-3.375394","36.654593",0,0
"-3.375394","36.654593",0,0
"-3.375394","36.654593",2902,0
"-3.375394","36.654593",1994,0
"-3.375394","36.654593",1994,3770
"-3.375425","36.654719",0,0
"-3.375430","36.654685",1990,3770
"-3.375430","36.654685",0,0
"-3.375430","36.654685",1991,3771
"-3.375447","36.654595",1991,3771
"-3.375447","36.654595",1989,3771
"-3.375426","36.654593",1949,3771
"-3.375426","36.654593",1835,3772
"-3.375426","36.654593",1652,3772
"-3.375426","36.654593",1410,3772
"-3.375426","36.654593",1121,3773
"-3.375426","36.654593",845,3773
"-3.375426","36.654593",638,3773
"-3.375426","36.654593",497,3773
"-3.375426","36.654593",414,3773
"-3.375426","36.654593",380,3774
"-3.375426","36.654593",371,3774
"-3.375426","36.654593",367,3773
"-3.375426","36.654593",365,3772
"-3.375426","36.654593",364,3772
"-3.375426","36.654593",364,3771
"-3.375426","36.654593",364,3770
"-3.375426","36.654593",363,3770
"-3.375426","36.654593",363,3770
"-3.375426","36.654593",363,3770
"-3.375426","36.654593",363,3770
"-3.375426","36.654593",363,3770
"-3.375426","36.654593",362,3769
"-3.375426","36.654593",362,3768
"-3.375426","36.654593",0,3767
"-3.375426","36.654593",0,3767
"-3.375426","36.654593",0,3766
"-3.375426","36.654593",242,3766
"-3.375426","36.654593",92,3767
"-3.375426","36.654593",11,3767
"-3.375426","36.654593",11,3768
"-3.375426","36.654593",0,3768
"-3.375426","36.654593",11,3768
"-3.375445","36.654606",9,3768
"-3.375445","36.654606",9,3768
"-3.375445","36.654606",9,3768
"-3.375445","36.654606",9,3769
"-3.375445","36.654606",9,3769
"-3.375445","36.654606",9,3770
"-3.375445","36.654606",10,3770
"-3.375445","36.654606",10,3770
"-3.375445","36.654606",10,3770
"-3.375445","36.654606",10,3770
"-3.375445","36.654606",10,3770
"-3.375445","36.654606",10,3771
"-3.375411","36.654597",10,3771
"-3.375411","36.654597",10,3772
"-3.375411","36.654597",10,3772
"-3.375411","36.654597",10,3772
"-3.375411","36.654597",10,3772
"-3.375411","36.654597",9,3771
"-3.375411","36.654597",8,3771
"-3.375411","36.654597",7,3772
"-3.375411","36.654597",7,3774
"-3.375411","36.654597",7,3776
"-3.375420","36.654558",8,3778
"-3.375420","36.654558",8,3779
"-3.375420","36.654558",8,3778
"-3.375420","36.654558",8,3777
"-3.375420","36.654558",8,3776
"-3.375420","36.654558",8,3776
"-3.375420","36.654558",8,3776
"-3.375420","36.654558",8,3776
"-3.375420","36.654558",8,3776
"-3.375420","36.654558",8,3775
"-3.375420","36.654558",9,3775
"-3.375420","36.654558",0,3775
"-3.375402","36.654495",0,3775
"-3.375402","36.654495",0,3775
"-3.375402","36.654495",0,3774
"-3.375402","36.654495",0,3774
"-3.375402","36.654495",0,3773
"-3.375402","36.654495",0,3772
"-3.375402","36.654495",0,3771
"-3.375402","36.654495",0,3771
"-3.375402","36.654495",0,3769
"-3.375402","36.654495",0,3769
"-3.375402","36.654495",0,3769
"-3.375402","36.654495",0,3769
"-3.375402","36.654495",0,3769
"-3.375402","36.654495",0,3769
"-3.375402","36.654495",9,3769
"-3.375402","36.654495",9,3769
"-3.375402","36.654495",9,3770
"-3.375402","36.654495",9,3770
"-3.375402","36.654495",9,3770
"-3.375402","36.654495",9,3770
"-3.375402","36.654495",9,3770
"-3.375402","36.654495",9,3770
"-3.375402","36.654495",9,3770
